Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-09-30,17.28918,18.38969,17.28918,18.3399,4563
2015-10-01,18.31958,18.31958,17.81047,18.25048,560
2015-10-02,18.24032,18.25048,17.66008,18.0005,11524
2015-10-05,17.64992,18.0005,17.6296,18.0005,1665
2015-10-06,17.67024,18.19967,17.64992,18.19967,1590
2015-10-07,18.0005,18.19967,17.85925,18.19967,11072
2015-10-08,18.25048,18.25048,18.25048,18.25048,502
2015-10-09,18.25048,18.3399,18.0696,18.12041,2834
2015-10-12,18.16004,18.21999,18.14988,18.21999,873
2015-10-13,18.21999,18.21999,18.21999,18.21999,500
2015-10-14,18.24032,18.3399,18.19967,18.3399,3897
2015-10-15,17.87957,18.3399,17.87957,18.3399,1920
2015-10-16,18.39985,18.70064,18.0005,18.2708,6655
2015-10-19,18.70064,18.98009,18.14073,18.49944,3577
2015-10-20,18.16004,18.38969,18.05029,18.14988,2647
2015-10-21,18.14988,18.2708,18.14988,18.23015,12159
2015-10-22,18.00964,18.23015,18.00964,18.21999,5510
2015-10-23,18.10008,18.29011,18.10008,18.24032,14600
2015-10-26,18.11025,18.24032,18.11025,18.12041,1707
2015-10-27,18.12041,18.20983,18.11025,18.14988,870
2015-10-28,18.14988,18.14988,18.10008,18.14988,920
2015-10-29,18.14988,18.23015,18.10008,18.23015,4358
2015-10-30,18.19967,18.29011,18.10008,18.29011,5613
2015-11-02,18.10008,18.25048,18.10008,18.25048,800
2015-11-03,18.20983,18.24032,18.10008,18.24032,2838
2015-11-04,18.19967,18.19967,17.99034,18.10008,2885
2015-11-05,17.00973,18.10008,16.44982,17.64992,22390
2015-11-06,17.97001,17.98018,17.64992,17.64992,6996
2015-11-09,17.64992,17.7495,17.64992,17.7495,10472
2015-11-10,17.8999,17.8999,17.7495,17.88974,19612
2015-11-12,17.88974,17.88974,17.7495,17.7495,1960
2015-11-13,17.87957,17.87957,16.65,17.10017,606
2015-11-16,16.65,16.99957,16.50063,16.50063,21844
2015-11-17,16.39901,17.39079,16.39901,17.39079,41504
2015-11-18,16.8004,17.19975,16.8004,17.19975,20074
2015-11-19,17.19975,17.19975,17.19975,17.19975,44
2015-11-20,16.85934,16.85934,16.85934,16.85934,3
2015-11-23,16.89998,17.12049,16.6998,17.12049,726
2015-11-24,16.50063,17.07985,16.50063,17.07985,2107
2015-11-25,16.99957,16.99957,16.99957,16.99957,39
2015-11-27,16.99957,16.99957,16.99957,16.99957,175
2015-12-01,16.8004,16.8004,16.60021,16.74959,306
2015-12-02,16.9701,16.9701,16.72012,16.72012,831
2015-12-03,16.60021,16.60021,16.60021,16.60021,3
2015-12-04,16.60021,16.60021,16.05046,16.39901,2174
2015-12-07,16.44982,16.60021,16.29942,16.60021,1106
2015-12-08,16.60021,16.9701,16.60021,16.9701,84
2015-12-09,16.59005,16.59005,16.50063,16.50063,382
2015-12-10,16.50063,16.50063,15.02006,16.39088,5223
2015-12-14,15.0099,15.80048,15.0099,15.09932,400
2015-12-15,15.08916,15.19992,15.0099,15.19992,2000
2015-12-16,15.19992,15.84926,15.19992,15.84926,1094
2015-12-17,15.84926,16.18968,15.69988,16.18968,1675
2015-12-18,15.69988,15.90007,15.30967,15.80048,470
2015-12-21,15.30967,15.40011,15.29951,15.30967,1440
2015-12-22,15.29951,15.90007,15.09932,15.74967,1010
2015-12-23,15.6003,15.74967,15.50071,15.74967,626
2015-12-28,15.12981,15.99965,15.12981,15.99965,1493
2015-12-29,15.40011,16.19984,15.40011,16.19984,1050
2015-12-30,16.19984,16.4803,15.40011,16.4803,1189
2016-01-04,16.4803,16.4803,15.50071,16.47014,259
2016-01-07,15.6003,15.90007,15.6003,15.90007,178
2016-01-08,15.62062,15.62062,15.61046,15.62062,350
2016-01-11,15.80048,15.90007,15.69988,15.90007,1973
2016-01-12,15.90007,15.90007,15.65009,15.65009,768
2016-01-13,15.65009,15.90007,15.65009,15.90007,1110
2016-01-14,15.67041,15.88991,15.65009,15.74967,451
2016-01-15,15.71004,15.71004,15.71004,15.71004,430
2016-01-18,15.71004,15.88991,15.6003,15.6003,2017
2016-01-19,15.6003,15.6003,15.29951,15.29951,563
2016-01-20,14.80971,14.80971,14.29959,14.29959,1969
2016-01-21,14.42966,14.42966,13.99982,14.4002,1044
2016-01-22,14.5008,14.88999,14.5008,14.88999,956
2016-01-25,14.88999,14.88999,14.88999,14.88999,25
2016-01-26,13.99982,15.38995,13.99982,15.38995,526
2016-01-27,14.09941,15.38995,14.09941,14.36971,4235
2016-01-29,14.29959,14.29959,14.29959,14.29959,29
2016-02-01,14.29959,14.99974,14.29959,14.99974,510
2016-02-02,14.4002,14.4002,14.4002,14.4002,23
2016-02-03,14.4002,14.4002,14.4002,14.4002,30
2016-02-04,14.4002,14.4002,14.4002,14.4002,562
2016-02-05,14.4002,14.4002,14.4002,14.4002,14
2016-02-08,14.4002,14.4002,14.4002,14.4002,27
2016-02-09,14.4002,14.4002,14.4002,14.4002,444
2016-02-10,14.4002,14.4002,14.4002,14.4002,1
2016-02-11,14.69997,14.94995,14.4002,14.94995,348
2016-02-15,14.31992,14.35955,14.29959,14.29959,1814
2016-02-16,14.29959,14.29959,14.20001,14.29959,1317
2016-02-17,14.20001,14.90015,14.20001,14.90015,306
2016-02-18,14.4002,14.4002,14.4002,14.4002,496
